277,Kildare,Regional,R445,0,5,9,14,53.205583,-6.748542,53.21582,-6.665682,5.93,Current
279,Kildare,Regional,R445,0,1,16,17,53.180163,-6.798312,53.162834,-6.824623,2.62,Current
280,Kildare,Regional,R445,1,2,8,11,53.157275,-6.933594,53.157122,-6.864624,5.49,Current
283,Kildare,Regional,R418,0,1,19,20,52.988265,-6.994839,53.018353,-6.925257,6.01,Current
284,Kildare,Regional,R448,0,1,3,4,52.85531,-6.882305,52.87622,-6.875637,2.52,New
285,Kildare,Regional,R448,0,1,4,5,52.982267,-6.814339,53.011994,-6.80241,3.41,New
292,Kilkenny,National,N25,1,0,4,5,52.319449,-7.053544,52.291254,-7.057455,3.29,Current
293,Kilkenny,National,N76,0,1,2,3,52.642199,-7.264444,52.611567,-7.29019,3.94,Current
294,Kilkenny,Regional,R712,0,0,10,10,52.641363,-7.184403,52.654911,-7.246443,4.64,Current
302,Laois,National,N77,0,1,1,2,53.031778,-7.301993,53.005745,-7.304866,2.96,Current
304,Laois,National,N77,0,1,0,1,52.949319,-7.346534,52.916982,-7.346759,3.69,Current
308,Laois,National,N80,0,1,3,4,53.154507,-7.370082,53.122958,-7.330403,4.71,Current
312,Longford,Regional,R397,0,1,1,2,53.684472,-7.824475,53.644792,-7.822328,4.47,Current
317,Longford,Regional,R392,0,1,3,4,53.545247,-7.681181,53.550481,-7.717456,2.56,Current
318,Longford,Regional,R198,1,1,2,4,53.854764,-7.709406,53.799751,-7.789701,8.41,Current
319,Louth,National,N2,2,4,5,11,53.827323,-6.533468,53.7685,-6.491838,8.31,Current
320,Louth,National,N2,0,0,10,10,53.863998,-6.542733,53.836661,-6.537868,3.18,Current
324,Louth,National,N52,0,4,4,8,53.970439,-6.426129,53.949217,-6.459843,3.5,Current
327,Louth,Regional,R178,0,1,4,5,53.988215,-6.482473,53.973809,-6.528502,3.7,Current
330,Louth,National,N53,1,0,2,3,54.031078,-6.521839,54.021273,-6.460457,4.24,Current
331,Louth,National,N53,1,0,8,9,54.040688,-6.584075,54.031765,-6.526208,3.92,Current
332,Louth,Regional,R173,0,2,1,3,54.07399,-6.241059,54.052977,-6.194967,3.9,Current
336,Louth,National,N51,3,1,4,8,53.725331,-6.407813,53.715856,-6.465648,4.15,Current
338,Mayo,Regional,R334,0,1,1,2,53.557319,-9.234715,53.536095,-9.212457,3.05,Current
339,Mayo,National,N84,0,2,1,3,53.828459,-9.304616,53.77698,-9.307728,6.06,Current
340,Mayo,National,N5,1,3,2,6,53.82273,-9.353641,53.848311,-9.309969,4.17,Current
